Program ID,Broad Field,Field,Institution Name,Program Name,Percent of First Year Students with Full Financial Support (Fall 2005),Avg Completion Percentage (8 Years or Less for Humanities and 6 Years or Less for Other Fields),Median Time to Degree (Full- and Part-Time Graduates),Percent with Academic Plans,Collects Data About Post-Graduation Employment
20059277,Biological and Health Sciences,Neuroscience and Neurobiology,Boston University,"Neuroscience, Graduate School of Arts and Sciences",93.3%,50.7%,5,77.6%,Yes
20025120,Biological and Health Sciences,Neuroscience and Neurobiology,Brandeis University,Neuroscience,100%,44.1%,5.92,84.6%,Yes
20018425,Biological and Health Sciences,Neuroscience and Neurobiology,Brown University,Neuroscience,100%,56.3%,6,92.3%,Yes
20032977,Biological and Health Sciences,Neuroscience and Neurobiology,California Institute of Technology,Computation and Neural Systems,100%,42.1%,6,63.2%,Yes
20019220,Biological and Health Sciences,Neuroscience and Neurobiology,Case Western Reserve University,Neuroscience,100%,64.9%,5.73,68.8%,Yes
20056267,Biological and Health Sciences,Neuroscience and Neurobiology,Colorado State University,Biomedical Sciences/Neurosciences,100%,46.1%,4.5,60%,Yes
20057774,Biological and Health Sciences,Neuroscience and Neurobiology,Columbia University In The City of New York,Neurobiology and Behavior,100%,40.4%,6.5,73.3%,No
20015981,Biological and Health Sciences,Neuroscience and Neurobiology,Cornell University,NEUROBIOLOGY AND BEHAVIOR,75%,38.6%,6.4,100%,Yes
20065494,Biological and Health Sciences,Neuroscience and Neurobiology,Cornell University,Weill Graduate School of Medical Sciences - Neuroscience,100%,49.8%,5,100%,Yes
20027160,Biological and Health Sciences,Neuroscience and Neurobiology,Drexel University,Neuroscience,100%,26.7%,6,85.7%,Yes
20029919,Biological and Health Sciences,Neuroscience and Neurobiology,Duke University,Neurobiology,100%,37.6%,5.6,69.6%,Yes
20062073,Biological and Health Sciences,Neuroscience and Neurobiology,Emory University,Neuroscience (NS),100%,48.4%,5,76.3%,Yes
20044237,Biological and Health Sciences,Neuroscience and Neurobiology,Florida Atlantic University,Complex Systems and Brain Sciences,100%,36.4%,5.75,71.4%,Yes
20027351,Biological and Health Sciences,Neuroscience and Neurobiology,Florida State University,Neuroscience,100%,47.2%,6,87.5%,Yes
20019479,Biological and Health Sciences,Neuroscience and Neurobiology,George Washington University,Molecular Medicine,100%,65.1%,5.5,90%,No
20023041,Biological and Health Sciences,Neuroscience and Neurobiology,Georgetown University,Neuroscience,100%,52.6%,5.3,82.4%,Yes
20051437,Biological and Health Sciences,Neuroscience and Neurobiology,Georgia State University,Biology-Neuroscience & Neurobiology,100%,52.4%,6,93.3%,Yes
20066202,Biological and Health Sciences,Neuroscience and Neurobiology,Harvard University,DMS-Neuroscience,100%,55.8%,6,70.1%,Yes
20046552,Biological and Health Sciences,Neuroscience and Neurobiology,Indiana University At Bloomington,Neural Science,100%,18.8%,6.8,52.4%,Yes
20048411,Biological and Health Sciences,Neuroscience and Neurobiology,Indiana University Purdue University Indianapolis,Medical Neurobiology,66.7%,0%,6.5,80.5%,Yes
20016618,Biological and Health Sciences,Neuroscience and Neurobiology,Iowa State University,Neuroscience,20%,53.3%,5.7,100%,Yes
20056898,Biological and Health Sciences,Neuroscience and Neurobiology,Johns Hopkins University,Neuroscience,100%,65%,5.5,83%,Yes
20040684,Biological and Health Sciences,Neuroscience and Neurobiology,Kent State University Main Campus,Biomedical Sciences - Neurosciences,100%,66.7%,4.7,81.8%,No
20036591,Biological and Health Sciences,Neuroscience and Neurobiology,Loyola University Chicago,Neuroscience,100%,47%,5.8,88.9%,Yes
20033400,Biological and Health Sciences,Neuroscience and Neurobiology,Massachusetts Institute of Technology,Neuroscience,100%,68.3%,6,90%,Yes
20047111,Biological and Health Sciences,Neuroscience and Neurobiology,Michigan State University,Neuroscience,100%,22.5%,4.7,75%,Yes
20064479,Biological and Health Sciences,Neuroscience and Neurobiology,New York University,Neural Science,100%,31.4%,6.67,81.4%,Yes
20064482,Biological and Health Sciences,Neuroscience and Neurobiology,New York University,Neuroscience and Physiology/Sackler,100%,45.7%,5.69,81.4%,Yes
20069005,Biological and Health Sciences,Neuroscience and Neurobiology,Northwestern University,NU Interdepartmental Neuroscience Program (NUIN),100%,27.8%,6.2,60%,Yes
20029207,Biological and Health Sciences,Neuroscience and Neurobiology,Ohio State University Main Campus,Neuroscience Graduate Studies Program,75%,34.7%,5.38,86.7%,Yes
20058854,Biological and Health Sciences,Neuroscience and Neurobiology,Oregon Health And Science University,Behavioral Neuroscience,100%,56.7%,6,86.7%,Yes
20058951,Biological and Health Sciences,Neuroscience and Neurobiology,Oregon Health And Science University,Neuroscience,100%,20.2%,7,86.7%,Yes
20031596,Biological and Health Sciences,Neuroscience and Neurobiology,Penn State University,Neuroscience,100%,63.7%,4.9,88.5%,Yes
20055970,Biological and Health Sciences,Neuroscience and Neurobiology,Purdue University Main Campus,Neurobiology and Physiology,100%,41.3%,6,100%,No
20052795,Biological and Health Sciences,Neuroscience and Neurobiology,Stanford University,Neurosciences,100%,32.6%,5.7,63.6%,Yes
20038641,Biological and Health Sciences,Neuroscience and Neurobiology,State University of New York At Buffalo,Neuroscience,100%,100%,5,80%,No
20038311,Biological and Health Sciences,Neuroscience and Neurobiology,State University of New York At Stony Brook,Neuroscience,100%,33.4%,5.1,77.3%,Yes
20032731,Biological and Health Sciences,Neuroscience and Neurobiology,State University of New York Health Science Center At Brooklyn,Neural & Behavioral Science,100%,49.7%,6,78.6%,Yes
20036258,Biological and Health Sciences,Neuroscience and Neurobiology,State University of New York Upstate Medical University,Neuroscience,100%,23.3%,5,63.6%,Yes
20029731,Biological and Health Sciences,Neuroscience and Neurobiology,Tufts University,Neuroscience,100%,40%,6.1,63.6%,Yes
20025890,Biological and Health Sciences,Neuroscience and Neurobiology,Tulane University,Neuroscience Program,100%,61.3%,5.7,100%,Yes
20058841,Biological and Health Sciences,Neuroscience and Neurobiology,Uniformed Services University of The Health Sciences,Neurosciences,87.5%,54.7%,5,50%,Yes
20048628,Biological and Health Sciences,Neuroscience and Neurobiology,University of Alabama At Birmingham,Neurobiology,40%,35.5%,6.5,81.8%,Yes
20048699,Biological and Health Sciences,Neuroscience and Neurobiology,University of Alabama At Birmingham,Vision Science,80%,33.3%,6,81.8%,Yes
20034166,Biological and Health Sciences,Neuroscience and Neurobiology,University of Arizona,Neuroscience,100%,54%,5.75,94.4%,Yes
20061126,Biological and Health Sciences,Neuroscience and Neurobiology,University of California-Berkeley,Neuroscience,100%,59.9%,5.5,63%,Yes
20067324,Biological and Health Sciences,Neuroscience and Neurobiology,University of California-Davis,Neuroscience,100%,56.7%,6.22,72.7%,Yes
20049012,Biological and Health Sciences,Neuroscience and Neurobiology,University of California-Irvine,Anatomy and Neurobiology,100%,65%,5,83.3%,Yes
20049287,Biological and Health Sciences,Neuroscience and Neurobiology,University of California-Irvine,Neurobiology and Behavior,100%,53.8%,5.3,83.3%,No
20053529,Biological and Health Sciences,Neuroscience and Neurobiology,University of California-Los Angeles,Neuroscience & Neurobiology [combined programs],100%,35.8%,6.3,73.4%,Yes
20065711,Biological and Health Sciences,Neuroscience and Neurobiology,University of California-San Diego,Neurosciences,100%,52.2%,5.75,75.4%,Yes
20069539,Biological and Health Sciences,Neuroscience and Neurobiology,University of California-San Francisco,Neuroscience,100%,42.1%,5.5,76.9%,Yes
20014490,Biological and Health Sciences,Neuroscience and Neurobiology,University of Chicago,Neurobiology,100%,58.7%,5.5,90.9%,Yes
20014500,Biological and Health Sciences,Neuroscience and Neurobiology,University of Chicago,"Neurobiology, Pharmacology, Physiology",100%,61.7%,5.75,90.9%,Yes
20032207,Biological and Health Sciences,Neuroscience and Neurobiology,University of Cincinnati Main Campus,Neuroscience,100%,75%,5,75%,Yes
20064071,Biological and Health Sciences,Neuroscience and Neurobiology,University of Colorado At Boulder,Neuroscience,100%,46.1%,2.85,92.9%,Yes
20027720,Biological and Health Sciences,Neuroscience and Neurobiology,University of Colorado Denver (University of Colorado At Denver And Health Sciences Center),Neuroscience,100%,33%,6,70.7%,Yes
20068637,Biological and Health Sciences,Neuroscience and Neurobiology,University of Connecticut,Biomedical Science PhD Neurosciences,100%,47.5%,5.7,94.1%,Yes
20068695,Biological and Health Sciences,Neuroscience and Neurobiology,University of Connecticut,"Communication Sciences PhD Speech, Language and Hearing",0%,60.4%,5.5,94.1%,Yes
20070447,Biological and Health Sciences,Neuroscience and Neurobiology,University of Connecticut,Physiology Neurobiology PhD,100%,68.3%,5.3,94.1%,Yes
20013310,Biological and Health Sciences,Neuroscience and Neurobiology,University of Florida,Medical Sciences: Neuroscience,100%,76.6%,5,78.3%,Yes
20042695,Biological and Health Sciences,Neuroscience and Neurobiology,University of Houston,Vision Science/Physiological Optics,83.3%,60%,5,80%,Yes
20039200,Biological and Health Sciences,Neuroscience and Neurobiology,University of Illinois At Urbana-Champaign,Neuroscience,100%,9%,7.26,90.9%,Yes
20020235,Biological and Health Sciences,Neuroscience and Neurobiology,University of Iowa,Neuroscience,100%,50%,5.3,63.2%,Yes
20028046,Biological and Health Sciences,Neuroscience and Neurobiology,University of Kentucky,Anatomy & Neurobiology,100%,43.5%,4.56,68.8%,No
20026255,Biological and Health Sciences,Neuroscience and Neurobiology,University of Louisville,Anatomical Sciences & Neurobiology,100%,57.3%,4.5,77.8%,Yes
20050412,Biological and Health Sciences,Neuroscience and Neurobiology,University of Maryland College Park,Neurosciences and Cognitive Sciences,100%,43.3%,4.85,66.7%,Yes
20048071,Biological and Health Sciences,Neuroscience and Neurobiology,University of Massachusetts Amherst,Neuroscience and Behavior,100%,31.9%,5.7,92.9%,Yes
20021276,Biological and Health Sciences,Neuroscience and Neurobiology,University of Massachusetts At Worcester,Neuroscience,100%,8.3%,6.5,100%,No
20050920,Biological and Health Sciences,Neuroscience and Neurobiology,University of Miami,Neuroscience,100%,31.3%,6.2,83.3%,Yes
20035686,Biological and Health Sciences,Neuroscience and Neurobiology,University of Michigan-Ann Arbor,Neuroscience,100%,38.4%,6.3,81.5%,Yes
20040134,Biological and Health Sciences,Neuroscience and Neurobiology,University of Minnesota-Twin Cities,Neuroscience,100%,59.5%,5.5,94.1%,Yes
20045430,Biological and Health Sciences,Neuroscience and Neurobiology,University of North Carolina At Chapel Hill,Neurobiology,100%,62.7%,6,70.4%,Yes
20036766,Biological and Health Sciences,Neuroscience and Neurobiology,University of Pennsylvania,Biomedical Graduate Studies-Neuroscience,100%,37%,6.5,84.7%,Yes
20049863,Biological and Health Sciences,Neuroscience and Neurobiology,University of Pittsburgh Pittsburgh Campus,Neuroscience,100%,33%,5.8,84.4%,No
20069335,Biological and Health Sciences,Neuroscience and Neurobiology,University of Rochester,Neuroscience,100%,51%,6,88.5%,No
20068297,Biological and Health Sciences,Neuroscience and Neurobiology,University of Southern California,Neuroscience,100%,38.9%,5.5,70%,Yes
20061728,Biological and Health Sciences,Neuroscience and Neurobiology,University of Texas At Austin,Neuroscience,100%,17%,5.67,75%,Yes
20046141,Biological and Health Sciences,Neuroscience and Neurobiology,University of Texas Hlth Sci Cntr. At Houston\univ. of Texas M.d. Anderson Cancer Cntr.(Uthsch\utmdacc),Neuroscience,100%,7.3%,6.9,66.7%,Yes
20043461,Biological and Health Sciences,Neuroscience and Neurobiology,University of Toledo,Cellular & Molecular Neurobiology,95.6%,45.8%,5.9,100%,Yes
20019000,Biological and Health Sciences,Neuroscience and Neurobiology,University of Texas Southwestern Medical Center At Dallas,Neuroscience,100%,68.8%,5.8,63.6%,No
20047713,Biological and Health Sciences,Neuroscience and Neurobiology,University of Utah,Neuroscience,100%,24.4%,6.5,73.3%,Yes
20027568,Biological and Health Sciences,Neuroscience and Neurobiology,University of Vermont,Neuroscience,100%,46.7%,5,50%,Yes
20023546,Biological and Health Sciences,Neuroscience and Neurobiology,University of Virginia,Neuroscience,100%,67.7%,6,85.7%,Yes
20059840,Biological and Health Sciences,Neuroscience and Neurobiology,University of Washington,Neurobiology and Behavior,100%,30.9%,6.5,85.7%,No
20030911,Biological and Health Sciences,Neuroscience and Neurobiology,University of Wisconsin-Madison,Neuroscience,100%,66.8%,5,83.3%,Yes
20052054,Biological and Health Sciences,Neuroscience and Neurobiology,Vanderbilt University,Neuroscience,100%,60.9%,5.75,92.9%,Yes
20034519,Biological and Health Sciences,Neuroscience and Neurobiology,Wake Forest University,Neurobiology and Anatomy,100%,53.3%,5.4,94.7%,Yes
20034522,Biological and Health Sciences,Neuroscience and Neurobiology,Wake Forest University,Neuroscience,100%,38.7%,5.5,94.7%,Yes
20058469,Biological and Health Sciences,Neuroscience and Neurobiology,Washington State University,Graduate Program in Neuroscience,100%,37%,5,62.5%,Yes
20069982,Biological and Health Sciences,Neuroscience and Neurobiology,Washington University In St. Louis,Neurosciences,100%,52.9%,5.74,73%,Yes
20063690,Biological and Health Sciences,Neuroscience and Neurobiology,Yale University,Neuroscience Track of Biological & Biomedical Sciences,100%,54.5%,5.5,70.6%,Yes
20036164,Biological and Health Sciences,Nursing,Boston College,Nursing,55.6%,83.4%,4,60.5%,No
20019233,Biological and Health Sciences,Nursing,Case Western Reserve University,Nursing,0%,54.9%,5,68.5%,No
20052274,Biological and Health Sciences,Nursing,Catholic University of America,Nursing,25%,2.9%,6,75%,Yes
20058757,Biological and Health Sciences,Nursing,Duquesne University,Nursing,0%,50.9%,5.33,N/R,Yes
20062086,Biological and Health Sciences,Nursing,Emory University,Nursing,100%,100%,3,33.3%,Yes
20044279,Biological and Health Sciences,Nursing,Florida Atlantic University,Nursing,0%,51.7%,3.34,33.3%,Yes
20051534,Biological and Health Sciences,Nursing,Georgia State University,Nursing,0%,43.8%,4,90%,No
20048437,Biological and Health Sciences,Nursing,Indiana University Purdue University Indianapolis,Nursing Science,25%,36.4%,5,50%,Yes
20056908,Biological and Health Sciences,Nursing,Johns Hopkins University,Nursing,100%,43%,5.7,0%,Yes
20036601,Biological and Health Sciences,Nursing,Loyola University Chicago,Nursing,29.4%,36.7%,5.29,75.9%,Yes
20064495,Biological and Health Sciences,Nursing,New York University,Nursing,22.2%,19%,9,50%,Yes
20029223,Biological and Health Sciences,Nursing,Ohio State University Main Campus,Nursing,0%,45.6%,7,80%,No
20031619,Biological and Health Sciences,Nursing,Penn State University,Nursing,100%,51.6%,3.8,87.5%,Yes
20071349,Biological and Health Sciences,Nursing,State University of New York At Binghamton,Nursing,0%,83.3%,4.7,40%,Yes
20058964,Biological and Health Sciences,Nursing,Oregon Health And Science University,Nursing,23.1%,53.7%,6,80%,Yes
20070803,Biological and Health Sciences,Nursing,Rutgers The State University of New Jersey Newark Campus,Nursing,0%,21.5%,8,63.6%,Yes
20048631,Biological and Health Sciences,Nursing,University of Alabama At Birmingham,Nursing,14.3%,70.8%,5,73.3%,Yes
20053532,Biological and Health Sciences,Nursing,University of California-Los Angeles,Nursing,100%,54.5%,5.2,69.6%,Yes
20034179,Biological and Health Sciences,Nursing,University of Arizona,Nursing,10.5%,59.7%,5.5,56.3%,Yes
20069542,Biological and Health Sciences,Nursing,University of California-San Francisco,Nursing,66.7%,61.7%,5.2,76.1%,Yes
20032210,Biological and Health Sciences,Nursing,University of Cincinnati Main Campus,Nursing Research,80%,51.8%,6,75%,Yes
20027733,Biological and Health Sciences,Nursing,University of Colorado Denver (University of Colorado At Denver And Health Sciences Center),Nursing,0%,57.2%,5.66,64.7%,No
20024189,Biological and Health Sciences,Nursing,University of Connecticut,Nursing PhD,50%,76.7%,4.7,70.4%,Yes
20013352,Biological and Health Sciences,Nursing,University of Florida,Nursing Sciences,75%,39.7%,5.16,45.5%,Yes
20014856,Biological and Health Sciences,Nursing,University of Hawaii At Manoa,Nursing,0%,61.3%,4.5,40%,Yes
20042983,Biological and Health Sciences,Nursing,University of Illinois At Chicago,Nursing Science,66.7%,59.6%,6,61.5%,No
20020248,Biological and Health Sciences,Nursing,University of Iowa,Nursing,25%,45%,7.7,79.2%,Yes
20051288,Biological and Health Sciences,Nursing,University of Kansas,Nursing,0%,87%,5.7,56.7%,Yes
20028305,Biological and Health Sciences,Nursing,University of Kentucky,Nursing,66.7%,36.7%,4.29,95.5%,Yes
20048084,Biological and Health Sciences,Nursing,University of Massachusetts Amherst,Nursing,0%,93.3%,5.35,71.4%,Yes
20035709,Biological and Health Sciences,Nursing,University of Michigan-Ann Arbor,Nursing,77.8%,30.2%,7,69.8%,Yes
20040147,Biological and Health Sciences,Nursing,University of Minnesota-Twin Cities,Nursing,0%,0%,4.9,81%,No
20025476,Biological and Health Sciences,Nursing,University of Missouri - Columbia,Nursing,30%,53%,4.2,93.8%,Yes
20050933,Biological and Health Sciences,Nursing,University of Miami,Nursing,36.5%,33.3%,7.4,75%,Yes
20026187,Biological and Health Sciences,Nursing,University of Missouri - Kansas City,Nursing,36.5%,42.7%,5.4,70%,Yes
20025706,Biological and Health Sciences,Nursing,University of Missouri - Saint Louis,Nursing,75%,59.7%,6,86.7%,Yes
20037040,Biological and Health Sciences,Nursing,University of Pennsylvania,Nursing,100%,70.8%,4.7,61%,Yes
20045443,Biological and Health Sciences,Nursing,University of North Carolina At Chapel Hill,Nursing,16.7%,51.3%,5,80.8%,Yes
20049876,Biological and Health Sciences,Nursing,University of Pittsburgh Pittsburgh Campus,Nursing,100%,41.5%,7.6,74.1%,Yes
20065070,Biological and Health Sciences,Nursing,University of Rhode Island,Nursing,,,N/D,N/R,N/D
20069267,Biological and Health Sciences,Nursing,University of Rochester,Health Practice Research,25%,38.6%,5.3,70.6%,Yes
20067861,Biological and Health Sciences,Nursing,University of South Carolina Columbia,Nursing,50%,70%,4.5,53.8%,No
20024927,Biological and Health Sciences,Nursing,University of South Florida,Nursing,0%,91.3%,5.51,40%,Yes
20032825,Biological and Health Sciences,Nursing,University of Southern Mississippi,Nursing,0%,51.7%,4,0%,Yes
20045948,Biological and Health Sciences,Nursing,University of Tennessee,Nursing,0%,51.6%,3.3,76.9%,Yes
20061731,Biological and Health Sciences,Nursing,University of Texas At Austin,Nursing,37.5%,46.9%,5,63.2%,Yes
20047726,Biological and Health Sciences,Nursing,University of Utah,Nursing,50%,35%,4,52.4%,No
20023575,Biological and Health Sciences,Nursing,University of Virginia,Nursing,100%,70.8%,5.5,55.2%,Yes
20059853,Biological and Health Sciences,Nursing,University of Washington,Nursing,21.4%,66.3%,4.5,76.8%,No
20030937,Biological and Health Sciences,Nursing,University of Wisconsin-Madison,Nursing,100%,54%,6.32,80%,Yes
20026705,Biological and Health Sciences,Nursing,University of Wisconsin-Milwaukee,Nursing,0%,42.8%,5,N/R,Yes
20052067,Biological and Health Sciences,Nursing,Vanderbilt University,Nursing Science,36.5%,41.7%,5.75,75%,Yes
20017413,Biological and Health Sciences,Nursing,Virginia Commonwealth University,Nursing,25%,19.4%,7,73.3%,No
20021409,Biological and Health Sciences,Nursing,Wayne State University,Nursing,20%,31.1%,8.5,65.5%,Yes
20063700,Biological and Health Sciences,Nursing,Yale University,Nursing,0%,55.6%,5,64.7%,Yes
20038007,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Auburn University,Pharmaceutical Sciences,100%,73.8%,4.91,50%,Yes
20026543,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Baylor College of Medicine,Pharmacology,100%,90%,5.8,100%,No
20059293,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Boston University,Pharmacology,60%,38.9%,7,68.8%,Yes
20019275,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Case Western Reserve University,Pharmacology,100%,86.7%,5.13,42.9%,Yes
20016809,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Clemson University,Environmental Toxicology,100%,63.1%,3.5,20%,Yes
20056348,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Colorado State University,Environmental Health,93.9%,46.3%,5,46.2%,Yes
20057813,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Columbia University In The City of New York,Pharmacology,100%,38.3%,6,40%,No
20015774,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Cornell University,Environmental Toxicology,100%,66.1%,4.6,57.1%,Yes
20016016,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Cornell University,Pharmacology,100%,50%,5.2,57.1%,Yes
20065504,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Cornell University,Weill Graduate School of Medical Sciences - Pharacology,100%,46.4%,6,57.1%,Yes
20048291,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Dartmouth College,Pharmacology & Toxicology,100%,73.8%,4.75,69.6%,Yes
20029951,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Duke University,Pharmacology,100%,56.7%,5.3,73.5%,Yes
20062060,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Emory University,Molecular and Systems Pharmacology (MSP),100%,70%,5,66.7%,Yes
20023067,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Georgetown University,Pharmacology,100%,80%,5.3,78.6%,No
20026064,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Howard University,Pharmacology,50%,0%,6,75%,No
20048440,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Indiana University Purdue University Indianapolis,Pharmacology,100%,71.7%,5.5,55.1%,No
20016744,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Iowa State University,Toxicology,60%,48.7%,4.4,57.1%,Yes
20056665,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Johns Hopkins University,Environmental Health Sciences,100%,54.2%,6.3,60%,No
20056924,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Johns Hopkins University,Pharmacology and Molecular Sciences,100%,56.3%,5.5,60%,Yes
20036614,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Loyola University Chicago,Pharmacology and Experimental Therapeutics,100%,66.3%,5.4,63.6%,Yes
20033125,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Massachusetts Institute of Technology,Applied Biosciences,71.4%,65.5%,5.5,27.3%,Yes
20046921,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Michigan State University,Environmental Toxicology,100%,69.1%,5,68.8%,Yes
20064301,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",New York University,Environmental Health Science,100%,30.2%,5.8,70%,No
20047137,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Michigan State University,Pharmacology and Toxicology,100%,66%,5.2,68.8%,Yes
20064453,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",New York University,Molecular Pharmacology/Sackler,100%,64%,5.4,70%,Yes
20041670,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",North Carolina State University,Toxicology,83.3%,38%,5,50%,Yes
20026909,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",North Dakota State University Main Campus,Pharmaceutical Sciences,100%,63.9%,4,50%,Yes
20029249,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Ohio State University Main Campus,Pharmacy,100%,77.4%,5.13,42.9%,Yes
20018687,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Oregon State University,Pharmacy,60%,67.3%,4.88,42.1%,Yes
20018726,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Oregon State University,Toxicology,100%,51.1%,5.75,42.1%,No
20031664,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Penn State University,Pharmacology,100%,76.7%,5.2,68.4%,Yes
20012719,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Rutgers The State University of New Jersey New Brunswick Campus,Pharmaceutical Science,75%,25.6%,4.5,38.7%,Yes
20049478,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Rutgers-New Brunswick And University of Medicine And Dentistry of New Jersey-Piscataway,Cellular and Molecular Pharmacology,100%,44.6%,4,18.2%,Yes
20049504,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Rutgers-New Brunswick And University of Medicine And Dentistry of New Jersey-Piscataway,Toxicology,100%,15.7%,7.9,18.2%,Yes
20040545,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Southern Illinois University Carbondale,Pharmacology,0%,35.4%,4.8,83.3%,Yes
20071514,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Stanford University,Chemical & Systems Biology,75%,56.7%,5.7,20%,Yes
20038667,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",State University of New York At Buffalo,Pharmaceutical Sciences,100%,73.2%,5.5,65.5%,Yes
20038670,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",State University of New York At Buffalo,Pharmacology,100%,67.1%,5.5,65.5%,No
20038298,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",State University of New York At Stony Brook,Molecular and Cellular Pharmacology,100%,61.9%,5.2,53.3%,Yes
20036261,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",State University of New York Upstate Medical University,Pharmacology,100%,9.8%,6.33,100%,Yes
20042323,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Temple University,Pharmacology,60%,70%,5.7,46.7%,Yes
20060606,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Thomas Jefferson University,Molecular Pharmacology and Structural Biology,100%,26.7%,6,0%,Yes
20029757,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",Tufts University,Pharmacology and Experimental Therapeutics,100%,66.7%,4.8,46.2%,Yes
20048660,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",University of Alabama At Birmingham,Pharmacology and Toxicology,100%,54%,6.5,59.1%,Yes
20034124,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",University of Arizona,Medical Pharmacology,100%,56.3%,2.5,72.2%,Yes
20034205,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",University of Arizona,Pharmaceutical Sciences,100%,72.5%,5,72.2%,Yes
20067353,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",University of California-Davis,Pharmacology & Toxicology,100%,50.5%,4.95,37%,Yes
20049290,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",University of California-Irvine,Pharmacology and Toxicology,50%,54.1%,5,59.1%,Yes
20060253,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",University of California-Los Angeles,Molecular and Medical Pharmacology,100%,31.3%,6.2,45.7%,Yes
20048822,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",University of California-Riverside,Environmental Toxicology,100%,57.4%,5,58.3%,Yes
20069568,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",University of California-San Francisco,Pharmaceutical Sciences and Pharmacogenomics,100%,25%,5.6,N/R,Yes
20032090,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",University of Cincinnati Main Campus,Environmental Health,100%,46.2%,4,41.7%,Yes
20032197,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",University of Cincinnati Main Campus,"Molecular, Cellular and Biochemical Pharmacology",100%,66.7%,4.86,41.7%,Yes
20027746,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",University of Colorado Denver (University of Colorado At Denver And Health Sciences Center),Pharmaceutical Sciences,100%,68.3%,5,0%,Yes
20027759,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",University of Colorado Denver (University of Colorado At Denver And Health Sciences Center),Pharmacology,100%,67.7%,4.58,0%,Yes
20068585,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",University of Connecticut,Biomedical Science PhD Cell Molecular Pharmacology,100%,33.3%,6.4,50%,Yes
20068750,Biological and Health Sciences,"Pharmacology, Toxicology and Environmental Health",University of Connecticut,Pharmaceutical Science PhD Pharmacology and Toxicology,100%,47.3%,4.7,50%,Yes
