Program ID,Broad Field,Field,Institution Name,Program Name,Non-Asian Minority Faculty as a Percent of Total Core and New Domestic Faculty (2006),Female Faculty as a Percent of Total Core and New Faculty (2006),Non-Asian Minority Students as a Percent of Total Domestic Students (Fall 2005),Female Students as a Percent of Total Students (Fall 2005),International Students as a Percent of Total Students (Fall 2005)
20019042,Humanities,"History of Art, Architecture and Archaeology",Case Western Reserve University,Art History,0%,44.4%,0%,83.9%,3.2%
20057017,Humanities,"History of Art, Architecture and Archaeology",City University of New York Grad. Center,Art History,8.7%,73.1%,12.4%,74.3%,13.2%
20057402,Humanities,"History of Art, Architecture and Archaeology",Columbia University In The City of New York,Architecture,12.5%,50%,11.1%,52.4%,52.4%
20057415,Humanities,"History of Art, Architecture and Archaeology",Columbia University In The City of New York,Art History and Archaeology,5%,51.6%,12.4%,72.2%,17.1%
20015538,Humanities,"History of Art, Architecture and Archaeology",Cornell University,Architecture,0%,50%,0%,40%,60%
20015842,Humanities,"History of Art, Architecture and Archaeology",Cornell University,History of Art and Archeology,30.8%,73.3%,21.4%,60.9%,34.8%
20030128,Humanities,"History of Art, Architecture and Archaeology",Duke University,Art History,7.7%,53.8%,10.5%,82.1%,28.6%
20061919,Humanities,"History of Art, Architecture and Archaeology",Emory University,Art History,9.1%,69.2%,3.7%,87.5%,12.5%
20027199,Humanities,"History of Art, Architecture and Archaeology",Florida State University,Art History,7.1%,57.1%,0%,75%,0%
20066118,Humanities,"History of Art, Architecture and Archaeology",Harvard University,History of Art and Architecture,0%,39.1%,17.1%,75.6%,23.2%
20060389,Humanities,"History of Art, Architecture and Archaeology",Illinois Institute of Technology,Architecture,0%,20%,40%,6.3%,68.8%
20046329,Humanities,"History of Art, Architecture and Archaeology",Indiana University At Bloomington,Fine Arts-Art History,0%,61.5%,3%,77.5%,15.4%
20056759,Humanities,"History of Art, Architecture and Archaeology",Johns Hopkins University,History of Art,0%,14.3%,0%,76.9%,25.6%
20033332,Humanities,"History of Art, Architecture and Archaeology",Massachusetts Institute of Technology,"History, Theory and Criticism",0%,18.2%,10.5%,74.2%,32.3%
20064369,Humanities,"History of Art, Architecture and Archaeology",New York University,History of Art and Archeology/IFA,5.9%,46.7%,2.6%,72.6%,15.6%
20068789,Humanities,"History of Art, Architecture and Archaeology",Northwestern University,Art History,9.1%,56.3%,12.5%,81.8%,27.3%
20029087,Humanities,"History of Art, Architecture and Archaeology",Ohio State University Main Campus,History of Art,0%,41.2%,0%,71.4%,20%
20031185,Humanities,"History of Art, Architecture and Archaeology",Penn State University,Art History,8.3%,58.3%,4.8%,87.5%,8.3%
20032362,Humanities,"History of Art, Architecture and Archaeology",Princeton University,Architecture,0%,42.9%,0%,53.3%,60%
20032375,Humanities,"History of Art, Architecture and Archaeology",Princeton University,Art and Archaeology,0%,35%,10.3%,72%,32%
20012379,Humanities,"History of Art, Architecture and Archaeology",Rutgers The State University of New Jersey New Brunswick Campus,Art History,6.7%,73.3%,4.8%,86%,10.5%
20052384,Humanities,"History of Art, Architecture and Archaeology",Stanford University,Art History,0%,60%,9.5%,81.8%,12.1%
20037396,Humanities,"History of Art, Architecture and Archaeology",State University of New York At Binghamton,Art History,0%,71.4%,5.9%,66.7%,52.8%
20038078,Humanities,"History of Art, Architecture and Archaeology",State University of New York At Stony Brook,Art History and Criticism,0%,50%,0%,77.3%,22.7%
20042190,Humanities,"History of Art, Architecture and Archaeology",Temple University,Art History,11.1%,77.8%,5.3%,72.7%,0%
20060981,Humanities,"History of Art, Architecture and Archaeology",University of California-Berkeley,History of Art,7.1%,50%,5.4%,80%,10%
20053037,Humanities,"History of Art, Architecture and Archaeology",University of California-Los Angeles,Archeology,5.3%,52%,0%,61.1%,27.8%
20053040,Humanities,"History of Art, Architecture and Archaeology",University of California-Los Angeles,Architecture,7.7%,38.5%,9.1%,35.7%,21.4%
20053053,Humanities,"History of Art, Architecture and Archaeology",University of California-Los Angeles,Art History,9.1%,63.6%,15.1%,77.8%,11.1%
20070133,Humanities,"History of Art, Architecture and Archaeology",University of California-Santa Barbara,Art History,5.9%,42.1%,15.4%,81.6%,13.2%
20014212,Humanities,"History of Art, Architecture and Archaeology",University of Chicago,Art History,5%,39.1%,9.9%,76.9%,20.9%
20012094,Humanities,"History of Art, Architecture and Archaeology",University of Delaware,Art History,15.4%,69.2%,6.9%,80.3%,1.6%
20019592,Humanities,"History of Art, Architecture and Archaeology",University of Georgia,Art,0%,41.7%,12.5%,75%,0%
20038793,Humanities,"History of Art, Architecture and Archaeology",University of Illinois At Urbana-Champaign,Art History,6.3%,64.7%,21.4%,88.9%,22.2%
20020510,Humanities,"History of Art, Architecture and Archaeology",University of Iowa,Art History,0%,46.2%,4.2%,80.6%,10.3%
20051204,Humanities,"History of Art, Architecture and Archaeology",University of Kansas,History of Art,0%,66.7%,2.6%,87%,13%
20026268,Humanities,"History of Art, Architecture and Archaeology",University of Louisville,Art History,12.5%,37.5%,13.3%,80%,0%
20050001,Humanities,"History of Art, Architecture and Archaeology",University of Maryland College Park,Art History,6.3%,56.3%,5.4%,72.9%,16.7%
20035495,Humanities,"History of Art, Architecture and Archaeology",University of Michigan-Ann Arbor,History of Art,8.3%,52%,5%,81.8%,4.5%
20039637,Humanities,"History of Art, Architecture and Archaeology",University of Minnesota-Twin Cities,Art History,0%,44.4%,0%,78.6%,25%
20025201,Humanities,"History of Art, Architecture and Archaeology",University of Missouri - Columbia,Art History and Archaeology,0%,41.7%,0%,40%,20%
20015211,Humanities,"History of Art, Architecture and Archaeology",University of New Mexico Main Campus,Art History,18.2%,70%,30%,33.3%,0%
20045087,Humanities,"History of Art, Architecture and Archaeology",University of North Carolina At Chapel Hill,Art History,20%,80%,0%,100%,6.7%
20036957,Humanities,"History of Art, Architecture and Archaeology",University of Pennsylvania,History of Art,0%,46.2%,8.3%,77.1%,10.4%
20049737,Humanities,"History of Art, Architecture and Archaeology",University of Pittsburgh Pittsburgh Campus,History of Art and Architecture,0%,43.8%,0%,88.2%,20.6%
20067971,Humanities,"History of Art, Architecture and Archaeology",University of Southern California,Art History,5.3%,66.7%,5.9%,81.6%,10.5%
20061320,Humanities,"History of Art, Architecture and Archaeology",University of Texas At Austin,Art History,5.6%,50%,8.9%,75.9%,0%
20056076,Humanities,"History of Art, Architecture and Archaeology",University of Texas At Dallas,Aesthetic Studies,5.6%,31.6%,8.1%,45.1%,19.3%
20023300,Humanities,"History of Art, Architecture and Archaeology",University of Virginia,History of Art,4.5%,36.4%,0%,86%,11.6%
20059442,Humanities,"History of Art, Architecture and Archaeology",University of Washington,Art History,0%,81.8%,12.5%,66.7%,16.7%
20030322,Humanities,"History of Art, Architecture and Archaeology",University of Wisconsin-Madison,Art History,9.1%,61.5%,6.3%,88%,16%
20026585,Humanities,"History of Art, Architecture and Archaeology",University of Wisconsin-Milwaukee,Architecture,10%,27.3%,14.3%,62.5%,56.3%
20017400,Humanities,"History of Art, Architecture and Archaeology",Virginia Commonwealth University,Art History,10%,30%,20%,68.8%,6.3%
20069704,Humanities,"History of Art, Architecture and Archaeology",Washington University In St. Louis,Art History and Archaeology,10%,60%,0%,72.7%,27.3%
20063551,Humanities,"History of Art, Architecture and Archaeology",Yale University,History of Art,0%,47.6%,11.1%,61%,15.3%
20025117,Humanities,"Languages, Societies and Cultures",Brandeis University,Near Eastern and Judaic Studies,0%,19%,4.2%,57.5%,27.5%
20018373,Humanities,"Languages, Societies and Cultures",Brown University,Italian Studies,20%,60%,N/D,66.7%,77.8%
20018496,Humanities,"Languages, Societies and Cultures",Brown University,Slavic Studies,0%,66.7%,N/D,100%,50%
20049009,Humanities,"Languages, Societies and Cultures",Bryn Mawr College,Russian,0%,40%,0%,76.9%,30.8%
20057583,Humanities,"Languages, Societies and Cultures",Columbia University In The City of New York,East Asian Languages and Cultures,0%,38.5%,3.4%,38.7%,32.3%
20057703,Humanities,"Languages, Societies and Cultures",Columbia University In The City of New York,Italian,0%,50%,9.1%,61.5%,26.9%
20057758,Humanities,"Languages, Societies and Cultures",Columbia University In The City of New York,Middle East and Asian Languages And Cultures,0%,20%,31.3%,47.2%,25%
20057871,Humanities,"Languages, Societies and Cultures",Columbia University In The City of New York,Slavic Languages,0%,55.6%,9.5%,66.7%,5.6%
20015716,Humanities,"Languages, Societies and Cultures",Cornell University,East Asian Literature,0%,30%,0%,52.6%,50%
20070890,Humanities,"Languages, Societies and Cultures",Cornell University,Medieval Studies,0%,26.7%,0%,71.4%,7.1%
20065902,Humanities,"Languages, Societies and Cultures",Harvard University,Celtic Language and Literature,0%,50%,0%,58.3%,25%
20066024,Humanities,"Languages, Societies and Cultures",Harvard University,East Asian Lang. & Civ.,0%,19.2%,4.8%,51.8%,51.2%
20066147,Humanities,"Languages, Societies and Cultures",Harvard University,Inner Asian & Altaic Studies,0%,7.1%,0%,22.2%,44.4%
20066228,Humanities,"Languages, Societies and Cultures",Harvard University,Middle Eastern Studies,0%,20%,0%,38.9%,40%
20066257,Humanities,"Languages, Societies and Cultures",Harvard University,Near Eastern Languages and Civilizations,0%,18%,0%,30.8%,24.7%
20066422,Humanities,"Languages, Societies and Cultures",Harvard University,Sanskrit and Indian Studies,0%,0%,0%,38.5%,41.7%
20066435,Humanities,"Languages, Societies and Cultures",Harvard University,Slavic Languages and Literature,0%,45.5%,0%,42.1%,27.8%
20046196,Humanities,"Languages, Societies and Cultures",Indiana University At Bloomington,Central Eurasian Studies,0%,5.9%,15.4%,37.5%,41.7%
20046219,Humanities,"Languages, Societies and Cultures",Indiana University At Bloomington,Chinese,0%,40%,0%,36.4%,27.3%
20046442,Humanities,"Languages, Societies and Cultures",Indiana University At Bloomington,Italian,0%,16.7%,28.6%,37.5%,70.8%
20046549,Humanities,"Languages, Societies and Cultures",Indiana University At Bloomington,Near Eastern Languages & Cultures,0%,42.9%,14.3%,43.8%,56.3%
20046659,Humanities,"Languages, Societies and Cultures",Indiana University At Bloomington,Slavic Languages & Literature,0%,33.3%,0%,76.5%,41.2%
20046455,Humanities,"Languages, Societies and Cultures",Indiana University At Bloomington,Japanese,0%,45.5%,0%,75%,25%
20056814,Humanities,"Languages, Societies and Cultures",Johns Hopkins University,Italian,0%,25%,0%,57.1%,50%
20056885,Humanities,"Languages, Societies and Cultures",Johns Hopkins University,Near Eastern Studies,0%,14.3%,0%,42.3%,38.5%
20064343,Humanities,"Languages, Societies and Cultures",New York University,Hebrew and Judaic Studies,0%,20%,0%,53.7%,28.4%
20064372,Humanities,"Languages, Societies and Cultures",New York University,Institute for French Studies,0%,0%,7.1%,69.6%,26.1%
20064385,Humanities,"Languages, Societies and Cultures",New York University,Italian Studies,0%,83.3%,8.3%,86.2%,44.8%
20064437,Humanities,"Languages, Societies and Cultures",New York University,Middle Eastern and Islamic Studies,0%,30.8%,0%,63.2%,42.1%
20064550,Humanities,"Languages, Societies and Cultures",New York University,Program in History & Middle Eastern Studies,0%,0%,18.2%,59.1%,22.7%
20069076,Humanities,"Languages, Societies and Cultures",Northwestern University,Slavic Languages and Literatures,0%,40%,0%,54.5%,36.4%
20028910,Humanities,"Languages, Societies and Cultures",Ohio State University Main Campus,East Asian Languages and Literatures,0%,50%,0%,69.7%,57.6%
20029333,Humanities,"Languages, Societies and Cultures",Ohio State University Main Campus,Slavic and East European Languages and Literatures,0%,50%,7.1%,75%,42.9%
20032469,Humanities,"Languages, Societies and Cultures",Princeton University,East Asian Studies,0%,35.7%,16.7%,54.2%,41.7%
20032605,Humanities,"Languages, Societies and Cultures",Princeton University,Near Eastern Studies,0%,10%,10%,37.5%,37.5%
20032689,Humanities,"Languages, Societies and Cultures",Princeton University,Slavic  Languages and  Literatures,0%,44.4%,0%,56.3%,25%
20052685,Humanities,"Languages, Societies and Cultures",Stanford University,Japanese,0%,60%,0%,41.7%,16.7%
20012612,Humanities,"Languages, Societies and Cultures",Rutgers The State University of New Jersey New Brunswick Campus,Italian,0%,40%,0%,81.3%,28.1%
20052753,Humanities,"Languages, Societies and Cultures",Stanford University,Modern Thought and Literature,28.6%,42.9%,57.9%,65.2%,13%
20052876,Humanities,"Languages, Societies and Cultures",Stanford University,Slavic Languages and Literatures,0%,40%,0%,72.7%,27.3%
20033934,Humanities,"Languages, Societies and Cultures",University of Arizona,East Asian Studies,0%,38.5%,0%,60.9%,73.9%
20060839,Humanities,"Languages, Societies and Cultures",University of California-Berkeley,East Asian Languages and Cultures,7.1%,28.6%,18.8%,47.8%,21.7%
20061032,Humanities,"Languages, Societies and Cultures",University of California-Berkeley,Italian Studies,0%,42.9%,22.2%,78.3%,17.4%
20061113,Humanities,"Languages, Societies and Cultures",University of California-Berkeley,Near Eastern Studies,0%,35.7%,13.6%,48.5%,21.2%
20061210,Humanities,"Languages, Societies and Cultures",University of California-Berkeley,Scandinavian Languages and Literatures,0%,50%,11.1%,63.6%,0%
20061223,Humanities,"Languages, Societies and Cultures",University of California-Berkeley,Slavic Languages and Literatures,0%,54.5%,0%,81%,9.5%
20061249,Humanities,"Languages, Societies and Cultures",University of California-Berkeley,South and Southeast Asian Studies,0%,42.9%,15.4%,61.8%,23.5%
20053066,Humanities,"Languages, Societies and Cultures",University of California-Los Angeles,Asian Languages and Cultures,0%,20.8%,0%,56.3%,33.3%
20053422,Humanities,"Languages, Societies and Cultures",University of California-Los Angeles,Italian,0%,16.7%,0%,76.5%,11.8%
20053516,Humanities,"Languages, Societies and Cultures",University of California-Los Angeles,Near Eastern Languages and Cultures,0%,26.7%,8.3%,54.3%,8.6%
20053590,Humanities,"Languages, Societies and Cultures",University of California-Los Angeles,Slavic Languages and Literatures,0%,30%,0%,81.3%,25%
20053419,Humanities,"Languages, Societies and Cultures",University of California-Los Angeles,Islamic Studies,20%,N/D,40%,46.2%,15.4%
20014322,Humanities,"Languages, Societies and Cultures",University of Chicago,East Asian Languages and Literatures,0%,44.4%,0%,46.4%,48.2%
20014487,Humanities,"Languages, Societies and Cultures",University of Chicago,Near Eastern Languages & Civilizations,3%,25%,3.9%,44.5%,19.2%
20014607,Humanities,"Languages, Societies and Cultures",University of Chicago,Slavic Languages and Literatures,0%,41.7%,0%,64.3%,25%
20014636,Humanities,"Languages, Societies and Cultures",University of Chicago,South Asian Languages and Civilizations,0%,40%,0%,38.7%,35.5%
20019974,Humanities,"Languages, Societies and Cultures",University of Georgia,Romance Languages,13.6%,46.4%,33.3%,61.3%,29%
20014717,Humanities,"Languages, Societies and Cultures",University of Hawaii At Manoa,East Asian Languages & Literatures,0%,38.1%,0%,64.2%,56.6%
20043089,Humanities,"Languages, Societies and Cultures",University of Illinois At Chicago,Slavic Languages & Literature,0%,60%,0%,66.7%,22.2%
20039307,Humanities,"Languages, Societies and Cultures",University of Illinois At Urbana-Champaign,Slavic Language and Literature,0%,33.3%,N/D,66.7%,100%
20051356,Humanities,"Languages, Societies and Cultures",University of Kansas,Slavic Languages and Literatures,0%,50%,0%,62.5%,0%
20035178,Humanities,"Languages, Societies and Cultures",University of Michigan-Ann Arbor,Asian Languages and Cultures,11.1%,22.2%,0%,27.8%,44.4%
20035673,Humanities,"Languages, Societies and Cultures",University of Michigan-Ann Arbor,Near Eastern Studies,5%,13%,4%,50%,16.7%
20035819,Humanities,"Languages, Societies and Cultures",University of Michigan-Ann Arbor,Slavic Languages and Literatures,0%,25%,0%,71.4%,42.9%
20025573,Humanities,"Languages, Societies and Cultures",University of Missouri - Columbia,Romance Languages,43.8%,47.1%,22.2%,53.8%,30.8%
20045579,Humanities,"Languages, Societies and Cultures",University of North Carolina At Chapel Hill,Slavic Languages and Literatures,0%,66.7%,0%,40%,10%
20070654,Humanities,"Languages, Societies and Cultures",University of North Carolina At Chapel Hill,Romance Languages - Italian,0%,16.7%,0%,37.5%,50%
20043869,Humanities,"Languages, Societies and Cultures",University of Oregon,East Asian Languages and Literatures,0%,40%,0%,68.8%,68.8%
20044004,Humanities,"Languages, Societies and Cultures",University of Oregon,Romance Languages,31.3%,63.2%,33.3%,40%,33.3%
20036889,Humanities,"Languages, Societies and Cultures",University of Pennsylvania,East Asian Languages and Cultures,0%,41.7%,0%,63.9%,50%
20036960,Humanities,"Languages, Societies and Cultures",University of Pennsylvania,Italian,0%,50%,0%,100%,33.3%
20037037,Humanities,"Languages, Societies and Cultures",University of Pennsylvania,Near Eastern Languages and Cultures,0%,26.7%,0%,52.7%,20%
20068417,Humanities,"Languages, Societies and Cultures",University of Southern California,Slavic Languages and Literatures,,37.5%,0%,70.6%,64.7%
20061333,Humanities,"Languages, Societies and Cultures",University of Texas At Austin,Asian Cultures and Languages,0%,39.3%,9.1%,52.6%,0%
20061634,Humanities,"Languages, Societies and Cultures",University of Texas At Austin,Latin American Studies,37.5%,33.3%,0%,28.6%,0%
20061841,Humanities,"Languages, Societies and Cultures",University of Texas At Austin,Slavic Languages and Literatures,18.2%,27.3%,14.3%,55.6%,0%
20047616,Humanities,"Languages, Societies and Cultures",University of Utah,Languages and Literature,22.7%,57.1%,27.8%,66.7%,14.3%
20047687,Humanities,"Languages, Societies and Cultures",University of Utah,Middle Eastern Studies,0%,25%,0%,38.5%,53.8%
20023368,Humanities,"Languages, Societies and Cultures",University of Virginia,Slavic Languages & Literatures,0%,55.6%,0%,33.3%,11.1%
20059455,Humanities,"Languages, Societies and Cultures",University of Washington,Asian Languages and Literature,0%,31.3%,0%,53.6%,53.6%
20059837,Humanities,"Languages, Societies and Cultures",University of Washington,Near and Middle Eastern Studies,0%,36.4%,0%,46.2%,30.8%
20060004,Humanities,"Languages, Societies and Cultures",University of Washington,Scandinavian Studies,0%,45.5%,0%,60%,20%
20030270,Humanities,"Languages, Societies and Cultures",University of Wisconsin-Madison,African Languages and Literature,44.4%,40%,44.4%,46.2%,30.8%
20030445,Humanities,"Languages, Societies and Cultures",University of Wisconsin-Madison,Chinese,20%,20%,0%,66.7%,77.8%
20030694,Humanities,"Languages, Societies and Cultures",University of Wisconsin-Madison,Hebrew and Semitic Studies,0%,50%,5.9%,16.7%,5.6%
20030746,Humanities,"Languages, Societies and Cultures",University of Wisconsin-Madison,Italian,0%,42.9%,0%,68.8%,62.5%
20030775,Humanities,"Languages, Societies and Cultures",University of Wisconsin-Madison,Languages and Cultures of Asia,0%,33.3%,0%,47.1%,18.8%
20031046,Humanities,"Languages, Societies and Cultures",University of Wisconsin-Madison,Slavic Languages and Literatures,0%,25%,4.3%,65.5%,10.3%
20021603,Humanities,"Languages, Societies and Cultures",Wayne State University,Modern Languages,24%,48%,50%,75%,20%
20063412,Humanities,"Languages, Societies and Cultures",Yale University,East Asian Languages & Literatures,0%,20%,9.1%,25%,35%
20063593,Humanities,"Languages, Societies and Cultures",Yale University,Italian Language & Literature,0%,50%,12.5%,47.1%,47.1%
20063687,Humanities,"Languages, Societies and Cultures",Yale University,Near Eastern Languages & Civilizations,0%,33.3%,0%,33.3%,40%
20063771,Humanities,"Languages, Societies and Cultures",Yale University,Renaissance Studies,14.3%,14.3%,16.7%,46.2%,38.5%
20063784,Humanities,"Languages, Societies and Cultures",Yale University,Slavic Languages & Literatures,0%,33.3%,0%,46.7%,46.7%
20059251,Humanities,Music (except performance),Boston University,Musicology,0%,25%,12.5%,40%,32%
20025094,Humanities,Music (except performance),Brandeis University,Music Composition and Theory,0%,20%,0%,5.9%,5.9%
20025104,Humanities,Music (except performance),Brandeis University,Musicology,0%,25%,18.2%,70.6%,0%
20018412,Humanities,Music (except performance),Brown University,Music: Ethnomusicology,0%,0%,0%,53.8%,0%
20052261,Humanities,Music (except performance),Catholic University of America,Music,0%,0%,0%,50%,0%
20057295,Humanities,Music (except performance),City University of New York Grad. Center,Music,10%,20.6%,12.2%,36.4%,11.9%
20057761,Humanities,Music (except performance),Columbia University In The City of New York,Music,7.1%,29.4%,7.8%,29.9%,25.8%
20065410,Humanities,Music (except performance),Cornell University,MUSIC,0%,43.8%,22.2%,66.7%,50%
20030173,Humanities,Music (except performance),Duke University,Music,8.3%,16.7%,0%,41.9%,16.1%
20027348,Humanities,Music (except performance),Florida State University,Music,5.9%,17.6%,5.3%,38.6%,11.4%
20066244,Humanities,Music (except performance),Harvard University,Music,9.1%,27.3%,7.1%,37.3%,30.5%
20046332,Humanities,Music (except performance),Indiana University At Bloomington,Folklore,5.7%,36.8%,20%,63.9%,22.5%
20046523,Humanities,Music (except performance),Indiana University At Bloomington,Music Theory,0%,30%,0%,47.1%,17.6%
20046536,Humanities,Music (except performance),Indiana University At Bloomington,Musicology,12.5%,50%,6.3%,52.4%,23.8%
20040804,Humanities,Music (except performance),Kent State University Main Campus,Musicology - Ethnomusicology,33.3%,0%,0%,35.7%,7.1%
20040859,Humanities,Music (except performance),Kent State University Main Campus,Theory - Composition,0%,0%,0%,40%,60%
20058207,Humanities,Music (except performance),Louisiana State University And Agricultural And Mechanical College,Music,0%,31.6%,7.7%,33.3%,27.8%
20047108,Humanities,Music (except performance),Michigan State University,Music Education,0%,25%,0%,66.7%,6.7%
20064466,Humanities,Music (except performance),New York University,Music,18.2%,33.3%,7.3%,49.2%,13.6%
20068996,Humanities,Music (except performance),Northwestern University,Music Studies,7.7%,35.7%,0%,60%,20%
20029197,Humanities,Music (except performance),Ohio State University Main Campus,Music,8.5%,25%,8.9%,49.3%,26.9%
20032595,Humanities,Music (except performance),Princeton University,Music,0%,20%,0%,43.8%,15.6%
20012667,Humanities,Music (except performance),Rutgers The State University of New Jersey New Brunswick Campus,Music,0%,14.3%,6.7%,50%,16.7%
20038638,Humanities,Music (except performance),State University of New York At Buffalo,MUSIC,0%,17.6%,0%,34.7%,51%
20052782,Humanities,Music (except performance),Stanford University,Music,0%,8.3%,30.8%,36%,44%
20038308,Humanities,Music (except performance),State University of New York At Stony Brook,Music,0%,50%,10%,44.8%,24.1%
20042310,Humanities,Music (except performance),Temple University,Music,0%,16.7%,25%,40%,0%
20034153,Humanities,Music (except performance),University of Arizona,Music,0%,23.1%,0%,75%,0%
20067311,Humanities,Music (except performance),University of California-Davis,Music,13.3%,37.5%,0%,56.3%,18.8%
20061100,Humanities,Music (except performance),University of California-Berkeley,Music,10.5%,36.8%,8.3%,50%,16%
20053309,Humanities,Music (except performance),University of California-Los Angeles,Ethnomusicology,38.5%,30.8%,38.1%,68%,4%
20053493,Humanities,Music (except performance),University of California-Los Angeles,Music,5.6%,11.1%,13.8%,40%,17.1%
20053503,Humanities,Music (except performance),University of California-Los Angeles,Musicology,10%,50%,9.1%,64.3%,3.6%
20065708,Humanities,Music (except performance),University of California-San Diego,Music,8.3%,18.5%,4.8%,39.4%,33.3%
20014474,Humanities,Music (except performance),University of Chicago,Music,6.3%,31.3%,5.3%,40.7%,25.6%
20070366,Humanities,Music (except performance),University of California-Santa Barbara,Music,0%,25%,3%,32%,0%
20039187,Humanities,Music (except performance),University of Illinois At Urbana-Champaign,Musicology,0%,31.3%,20%,54.5%,31.8%
20014843,Humanities,Music (except performance),University of Hawaii At Manoa,Music,0%,28.6%,11.1%,41.2%,35.3%
20020523,Humanities,Music (except performance),University of Iowa,Music PhD,0%,36.4%,0%,43.8%,31.3%
20028295,Humanities,Music (except performance),University of Kentucky,Music,6.5%,23.5%,5.6%,43.5%,13%
20050205,Humanities,Music (except performance),University of Maryland College Park,Ethnomusicology,25%,40%,30.8%,62.5%,37.5%
20050399,Humanities,Music (except performance),University of Maryland College Park,Music,0%,23.1%,10.5%,54.2%,16.7%
20027924,Humanities,Music (except performance),University of Memphis,Music,0%,12.5%,15.4%,35.7%,0%
20050807,Humanities,Music (except performance),University of Miami,Composition,0%,0%,14.3%,33.3%,22.2%
20035343,Humanities,Music (except performance),University of Michigan-Ann Arbor,Composition and Music Theory,0%,16.7%,0%,33.3%,33.3%
20035660,Humanities,Music (except performance),University of Michigan-Ann Arbor,Musicology,9.1%,27.3%,5.6%,47.4%,5.3%
20040118,Humanities,Music (except performance),University of Minnesota-Twin Cities,Music,4%,32%,0%,54.1%,8.1%
20026174,Humanities,Music (except performance),University of Missouri - Kansas City,Music,0%,35.7%,7.4%,56.3%,31.3%
20045414,Humanities,Music (except performance),University of North Carolina At Chapel Hill,Musicology,6.7%,26.7%,4.2%,40.7%,7.4%
20047399,Humanities,Music (except performance),University of North Texas,Music Composition,0%,18.8%,0%,14.3%,21.4%
20047409,Humanities,Music (except performance),University of North Texas,Musicology,12.5%,18.8%,11.8%,42.1%,10.5%
20043953,Humanities,Music (except performance),University of Oregon,Music,3.6%,32.3%,0%,60%,8.6%
20037011,Humanities,Music (except performance),University of Pennsylvania,Music,7.7%,30.8%,11.5%,50%,13.9%
20049850,Humanities,Music (except performance),University of Pittsburgh Pittsburgh Campus,Music,18.2%,27.3%,26.1%,38.7%,25.8%
20069319,Humanities,Music (except performance),University of Rochester,Music Theory,0%,20%,4%,29%,12.9%
20069322,Humanities,Music (except performance),University of Rochester,Musicology,0%,41.7%,6.7%,85%,25%
20068284,Humanities,Music (except performance),University of Southern California,Music (Historical Musicology),5.7%,25%,11.1%,50%,10%
20061715,Humanities,Music (except performance),University of Texas At Austin,Music PhD,11.5%,34.6%,11.4%,51%,11.8%
20047690,Humanities,Music (except performance),University of Utah,Music,13.3%,46.7%,11.1%,36.4%,10%
20059811,Humanities,Music (except performance),University of Washington,Music,5.3%,30%,20.6%,46.2%,25%
20030908,Humanities,Music (except performance),University of Wisconsin-Madison,Music,0%,33.3%,3.8%,46.7%,3.3%
20069979,Humanities,Music (except performance),Washington University In St. Louis,Music,0%,25%,10%,61.5%,7.7%
20063674,Humanities,Music (except performance),Yale University,Music,8.3%,30.8%,5.9%,40%,16.7%
20071365,Humanities,Philosophy,Boston College,Philosophy,5.9%,15.8%,6.9%,19.1%,38.3%
20059303,Humanities,Philosophy,Boston University,Philosophy,0%,10%,7.7%,33.3%,47.4%
20034742,Humanities,Philosophy,Bowling Green State University,Applied Philosophy,0%,18.8%,8.7%,26.7%,20%
20018438,Humanities,Philosophy,Brown University,Philosophy,0%,20%,5.6%,18.2%,21.2%
20071297,Humanities,Philosophy,Carnegie Mellon University,Philosophy,10%,7.7%,0%,0%,45.5%
20052290,Humanities,Philosophy,Catholic University of America,Philosophy,0%,15.8%,1.5%,20.7%,14.4%
20057318,Humanities,Philosophy,City University of New York Grad. Center,Philosophy,6.1%,24.3%,6.7%,23.4%,26.6%
20018030,Humanities,Philosophy,Claremont Graduate University,Philosophy,0%,25%,27.3%,25.9%,0%
20057826,Humanities,Philosophy,Columbia University In The City of New York,Philosophy,7.1%,36.4%,13%,31.4%,51%
20062109,Humanities,Philosophy,Emory University,Philosophy,0%,20%,11.4%,29.6%,16.7%
20030186,Humanities,Philosophy,Duke University,Philosophy,0%,18.8%,12.5%,44.4%,11.1%
20016029,Humanities,Philosophy,Cornell University,Philosophy,7.1%,22.2%,10%,30.2%,34.9%
20027377,Humanities,Philosophy,Florida State University,Philosophy,15.4%,20%,8.1%,30%,7.5%
20029485,Humanities,Philosophy,Fordham University,Philosophy,4.3%,25%,2.4%,18.5%,12.3%
20023070,Humanities,Philosophy,Georgetown University,Philosophy,0%,20.8%,3.2%,41.7%,11.1%
20066286,Humanities,Philosophy,Harvard University,Philosophy,0%,23.8%,10%,25%,30.2%
20046565,Humanities,Philosophy,Indiana University At Bloomington,Philosophy,0%,37.5%,3.1%,15.6%,21.4%
20056937,Humanities,Philosophy,Johns Hopkins University,Philosophy,0%,23.1%,7.4%,31.3%,15.6%
20036627,Humanities,Philosophy,Loyola University Chicago,Philosophy,3.6%,25%,2.4%,26%,18%
20040956,Humanities,Philosophy,Marquette University,Philosophy,4%,13.6%,7.1%,28.8%,11.5%
20033439,Humanities,Philosophy,Massachusetts Institute of Technology,Philosophy,10%,23.1%,6.7%,41.9%,41.9%
20047140,Humanities,Philosophy,Michigan State University,Philosophy,0%,22.2%,24.1%,42.4%,9.1%
