Program ID,Broad Field,Field,Institution Name,Program Name,Average Number of  PhDs Graduated (2002-2006),Percent of Interdisciplinary Faculty (2006),Average GRE Scores (2004-2006),"Percent of
First Year Students with External Fellowships (2005)",Is Student Work Space Provided?,Is Health Insurance Provided?,Number of Student Activities (Max=18)
20032786,Humanities,English Language and Literature,University of Southern Mississippi,English,5.6,0%,387,0%,No,No,17
20045799,Humanities,English Language and Literature,University of Tennessee,English,6.6,42.3%,637,0%,No,Yes,17
20061524,Humanities,English Language and Literature,University of Texas At Austin,English,15.2,7.3%,695,0%,No,Yes,17
20056212,Humanities,English Language and Literature,University of Texas At Dallas,Studies in Literature,5,7.7%,N/D,N/D,No,Yes,14
20047551,Humanities,English Language and Literature,University of Utah,English,7.8,0%,606,0%,Yes,Yes,18
20023232,Humanities,English Language and Literature,University of Virginia,English Language & Literature,12.4,5.8%,697,0%,No,Yes,14
20059620,Humanities,English Language and Literature,University of Washington,English,14,34.7%,646,0%,Yes,Yes,17
20030571,Humanities,English Language and Literature,University of Wisconsin-Madison,English,17.6,2.1%,671,4%,No,Yes,17
20026637,Humanities,English Language and Literature,University of Wisconsin-Milwaukee,English,8.6,18.2%,566,0%,Yes,Yes,14
20058414,Humanities,English Language and Literature,Washington State University,English,5,17.1%,562,0%,Yes,Yes,18
20051961,Humanities,English Language and Literature,Vanderbilt University,English,5.6,23.3%,686,10%,Yes,Yes,17
20069827,Humanities,English Language and Literature,Washington University In St. Louis,English and American Literature,7.6,0%,651,0%,No,Yes,17
20021593,Humanities,English Language and Literature,Wayne State University,English,4.8,14.7%,603,0%,No,Yes,15
20044075,Humanities,English Language and Literature,Western Michigan University,English,4.8,19%,594,0%,No,Yes,18
20063454,Humanities,English Language and Literature,Yale University,English,7.4,0%,730,17.6%,No,Yes,18
20059167,Humanities,French and Francophone Language and Literature,Boston University,French Language and Literature,1,12.5%,540,0%,No,Yes,16
20036148,Humanities,French and Francophone Language and Literature,Boston College,French and Francophone Language and Literature,2.6,0%,571,0%,Yes,Yes,18
20018315,Humanities,French and Francophone Language and Literature,Brown University,French Studies,1.8,40%,594,0%,Yes,Yes,18
20057211,Humanities,French and Francophone Language and Literature,City University of New York Grad. Center,French,2,4.3%,530,0%,No,No,18
20057651,Humanities,French and Francophone Language and Literature,Columbia University In The City of New York,French and Romance Philology,5.4,0%,637,0%,No,Yes,16
20065423,Humanities,French and Francophone Language and Literature,Cornell University,Romance Studies - French,1.8,25%,571,0%,Yes,Yes,17
20070528,Humanities,French and Francophone Language and Literature,Duke University,Romance Studies - French,2.8,33.3%,626,0%,No,Yes,16
20061993,Humanities,French and Francophone Language and Literature,Emory University,French,2.2,55.6%,551,20%,No,Yes,16
20066338,Humanities,French and Francophone Language and Literature,Harvard University,Romance Languages and Literature,9.6,0%,641,0%,No,Yes,13
20046345,Humanities,French and Francophone Language and Literature,Indiana University At Bloomington,French,2.8,45.7%,551,9.1%,No,Yes,17
20056681,Humanities,French and Francophone Language and Literature,Johns Hopkins University,French,3.4,16.7%,597,0%,Yes,Yes,18
20058113,Humanities,French and Francophone Language and Literature,Louisiana State University And Agricultural And Mechanical College,French,3.2,48.1%,555,0%,Yes,Yes,18
20064314,Humanities,French and Francophone Language and Literature,New York University,French,4.6,0%,625,36.4%,Yes,Yes,17
20068899,Humanities,French and Francophone Language and Literature,Northwestern University,French and Italian,1.6,28.6%,571,0%,Yes,Yes,15
20029016,Humanities,French and Francophone Language and Literature,Ohio State University Main Campus,French and Italian,4,0%,537,0%,No,Yes,18
20031428,Humanities,French and Francophone Language and Literature,Penn State University,French,3.4,52.8%,588,25%,Yes,Yes,18
20032511,Humanities,French and Francophone Language and Literature,Princeton University,French and Italian,3.6,31.6%,639,75%,No,Yes,16
20041133,Humanities,French and Francophone Language and Literature,Rice University,French,1.2,0%,550,0%,No,Yes,11
20012560,Humanities,French and Francophone Language and Literature,Rutgers The State University of New Jersey New Brunswick Campus,French,2.2,0%,579,0%,No,Yes,17
20052601,Humanities,French and Francophone Language and Literature,Stanford University,French,1.2,21.4%,556,0%,No,Yes,17
20060923,Humanities,French and Francophone Language and Literature,University of California-Berkeley,French,2.4,7.1%,571,0%,No,Yes,18
20067188,Humanities,French and Francophone Language and Literature,University of California-Davis,French,2.8,60.9%,571,0%,No,Yes,18
20049180,Humanities,French and Francophone Language and Literature,University of California-Irvine,French,1.6,18.2%,570,0%,Yes,Yes,18
20053312,Humanities,French and Francophone Language and Literature,University of California-Los Angeles,French & Francophone Studies,2.4,18.8%,582,16.7%,No,Yes,17
20014597,Humanities,French and Francophone Language and Literature,University of Chicago,Romance Languages and Literatures,4.4,4.5%,598,0%,Yes,Yes,17
20063988,Humanities,French and Francophone Language and Literature,University of Colorado At Boulder,French,1.8,9.1%,512,0%,Yes,Yes,14
20024053,Humanities,French and Francophone Language and Literature,University of Connecticut,French PhD,1,50%,571,0%,Yes,Yes,15
20013459,Humanities,French and Francophone Language and Literature,University of Florida,Romance Languages: French,1.6,23.1%,323,0%,Yes,Yes,17
20039019,Humanities,French and Francophone Language and Literature,University of Illinois At Urbana-Champaign,French,3.2,46.2%,513,0%,No,Yes,16
20020581,Humanities,French and Francophone Language and Literature,University of Iowa,French,1.2,0%,525,25%,Yes,Yes,17
20012887,Humanities,French and Francophone Language and Literature,University of Louisiana At Lafayette,Francophone Studies,4.8,20%,571,0%,No,Yes,13
20050373,Humanities,French and Francophone Language and Literature,University of Maryland College Park,Modern French Studies,1.4,16.7%,508,0%,No,Yes,17
20035783,Humanities,French and Francophone Language and Literature,University of Michigan-Ann Arbor,Romance Languages and Literature - French,1.4,50%,650,0%,Yes,Yes,17
20039912,Humanities,French and Francophone Language and Literature,University of Minnesota-Twin Cities,French,1,0%,613,0%,Yes,Yes,16
20070641,Humanities,French and Francophone Language and Literature,University of North Carolina At Chapel Hill,Romance Languages - French,2.6,0%,571,6.1%,Yes,Yes,18
20036928,Humanities,French and Francophone Language and Literature,University of Pennsylvania,French,2.8,0%,705,0%,Yes,Yes,18
20049698,Humanities,French and Francophone Language and Literature,University of Pittsburgh Pittsburgh Campus,French and Italian Languages and Literatures,1.4,7.7%,571,0%,Yes,Yes,18
20061537,Humanities,French and Francophone Language and Literature,University of Texas At Austin,French,2.4,0%,520,0%,Yes,Yes,18
20023261,Humanities,French and Francophone Language and Literature,University of Virginia,French Language & Literature,2.4,7.1%,598,0%,No,Yes,18
20030623,Humanities,French and Francophone Language and Literature,University of Wisconsin-Madison,French,3.8,55.6%,587,0%,No,Yes,17
20051987,Humanities,French and Francophone Language and Literature,Vanderbilt University,French,1.4,45%,616,0%,Yes,Yes,16
20069856,Humanities,French and Francophone Language and Literature,Washington University In St. Louis,French Language and Literatures,1.2,16.7%,466,0%,Yes,Yes,18
20063506,Humanities,French and Francophone Language and Literature,Yale University,French,3.2,0%,649,50%,No,Yes,18
20057677,Humanities,German Language and Literature,Columbia University In The City of New York,Germanic Languages,2.8,20%,588,0%,Yes,Yes,17
20015813,Humanities,German Language and Literature,Cornell University,Germanic Studies,1.4,0%,625,0%,Yes,Yes,16
20030157,Humanities,German Language and Literature,Duke University,German Studies,2.4,55.6%,601,0%,Yes,Yes,16
20022990,Humanities,German Language and Literature,Georgetown University,German,2.8,42.9%,591,0%,No,Yes,16
20066053,Humanities,German Language and Literature,Harvard University,Germanic Lang. & Lit.,2,30.8%,685,0%,Yes,Yes,17
20046387,Humanities,German Language and Literature,Indiana University At Bloomington,Germanic Studies,2.4,50%,582,40%,Yes,Yes,18
20056717,Humanities,German Language and Literature,Johns Hopkins University,German,1.2,16.7%,628,0%,Yes,Yes,18
20040794,Humanities,German Language and Literature,Kent State University Main Campus,History,2.2,26.1%,N/D,N/D,No,No,16
20064330,Humanities,German Language and Literature,New York University,German,1.8,0%,595,0%,Yes,Yes,17
20029058,Humanities,German Language and Literature,Ohio State University Main Campus,Germanic Languages and Literatures,2,0%,596,0%,Yes,Yes,18
20031460,Humanities,German Language and Literature,Penn State University,German,1.6,61.5%,581,0%,Yes,Yes,18
20032537,Humanities,German Language and Literature,Princeton University,German,2.6,9.1%,709,25%,Yes,Yes,15
20052643,Humanities,German Language and Literature,Stanford University,German Studies,1.4,25%,595,0%,No,Yes,15
20060949,Humanities,German Language and Literature,University of California-Berkeley,German,4.4,9.1%,609,25%,Yes,Yes,18
20053367,Humanities,German Language and Literature,University of California-Los Angeles,Germanic Languages,2.2,37.5%,557,0%,Yes,Yes,17
20014393,Humanities,German Language and Literature,University of Chicago,Germanic Studies,1,46.2%,608,100%,No,Yes,16
20042572,Humanities,German Language and Literature,University of Houston,History,5,0%,558,0%,No,Yes,13
20042873,Humanities,German Language and Literature,University of Illinois At Chicago,Germanic Studies,1,0%,596,100%,Yes,Yes,17
20039048,Humanities,German Language and Literature,University of Illinois At Urbana-Champaign,German,1.8,31.8%,580,11.3%,Yes,Yes,15
20051181,Humanities,German Language and Literature,University of Kansas,Germanic Languages and Literatures,1,0%,596,0%,Yes,No,17
20050247,Humanities,German Language and Literature,University of Maryland College Park,Germanic Language & Literature,1.4,12.5%,596,0%,No,Yes,17
20047975,Humanities,German Language and Literature,University of Massachusetts Amherst,German,2,46.7%,596,0%,Yes,Yes,16
20035453,Humanities,German Language and Literature,University of Michigan-Ann Arbor,Germanic Languages and Literatures,1.2,34.8%,573,0%,No,Yes,18
20039954,Humanities,German Language and Literature,University of Minnesota-Twin Cities,Germanic Studies,3.8,0%,608,25%,No,Yes,16
20045294,Humanities,German Language and Literature,University of North Carolina At Chapel Hill,Germanic Languages and Literatures,2.4,33.3%,559,0%,No,Yes,18
20061566,Humanities,German Language and Literature,University of Texas At Austin,Germanic Studies,4.6,61.4%,551,0%,Yes,Yes,17
20023274,Humanities,German Language and Literature,University of Virginia,German Language & Literature,2.2,0%,498,0%,No,Yes,18
20059701,Humanities,German Language and Literature,University of Washington,Germanics,1.6,21.4%,530,0%,Yes,Yes,18
20030681,Humanities,German Language and Literature,University of Wisconsin-Madison,German,5.2,0%,626,0%,Yes,Yes,17
20069869,Humanities,German Language and Literature,Washington University In St. Louis,Germanic Languages and Literature,3.8,0%,595,0%,Yes,Yes,17
20063535,Humanities,German Language and Literature,Yale University,Germanic Languages & Literatures,1.2,11.1%,634,0%,No,Yes,17
20060075,Humanities,History,American University,History,3,0%,637,0%,No,No,14
20034975,Humanities,History,Arizona State University,History,10.4,9.1%,582,0%,No,Yes,18
20037901,Humanities,History,Auburn University,History,4.2,0%,607,0%,No,No,17
20036151,Humanities,History,Boston College,History,6.2,15.2%,644,0%,No,Yes,18
20059196,Humanities,History,Boston University,History,4,0%,617,0%,No,Yes,10
20034784,Humanities,History,Bowling Green State University,History,2,0%,506,0%,No,No,16
20024985,Humanities,History,Brandeis University,American History,4.2,0%,677,0%,No,Yes,17
20025036,Humanities,History,Brandeis University,Comparative History,3.4,9.1%,594,0%,No,Yes,17
20018357,Humanities,History,Brown University,History,7.2,30.8%,607,25%,No,Yes,18
20071271,Humanities,History,Carnegie Mellon University,History,4,0%,630,25%,No,No,16
20019165,Humanities,History,Case Western Reserve University,History,2,40.9%,570,0%,No,No,16
20052229,Humanities,History,Catholic University of America,History,2.2,11.8%,683,0%,No,No,15
20057237,Humanities,History,City University of New York Grad. Center,History,8.6,0%,607,0%,No,No,18
20018001,Humanities,History,Claremont Graduate University,History,3.6,50%,549,0%,No,No,17
20066833,Humanities,History,Clark University,History,1.2,23.1%,607,0%,Yes,No,17
20045045,Humanities,History,College of William And Mary,Early American and United States History,3.4,0%,644,0%,Yes,No,17
20057680,Humanities,History,Columbia University In The City of New York,History,27,3.7%,707,22.2%,No,Yes,16
20015839,Humanities,History,Cornell University,History,6.2,3.9%,644,0%,No,Yes,17
20030089,Humanities,History,Duke University,History,8.4,6.8%,653,0%,No,Yes,17
20062028,Humanities,History,Emory University,History,8,18.2%,595,0%,No,Yes,17
20034645,Humanities,History,Florida International University,History,1.2,0%,515,0%,No,Yes,13
20027296,Humanities,History,Florida State University,History,10,0%,564,0%,No,Yes,17
20029472,Humanities,History,Fordham University,History,2,0%,607,0%,No,No,15
20019437,Humanities,History,George Washington University,History,6.2,13%,630,0%,No,Yes,15
20023012,Humanities,History,Georgetown University,History,9.8,23.6%,638,11.1%,No,Yes,15
20062840,Humanities,History,Georgia Institute of Technology,"Architecture (subfield: History, Theory & Criticism)",1,40%,N/D,0%,No,No,8
20062950,Humanities,History,Georgia Institute of Technology,History&Sociology of Technology&Science/History of Tech,1.8,0%,571,0%,Yes,No,17
20051521,Humanities,History,Georgia State University,History,2.4,14.3%,549,0%,No,Yes,13
20066082,Humanities,History,Harvard University,Hist. & East Asian Lang.,2.4,35.3%,626,33.3%,No,Yes,16
20066105,Humanities,History,Harvard University,History,13.6,28.2%,706,18.2%,No,Yes,17
20066121,Humanities,History,Harvard University,History of Science,5.4,51.6%,665,25%,No,Yes,16
20026022,Humanities,History,Howard University,History,3.6,0%,510,0%,No,No,17
20046390,Humanities,History,Indiana University At Bloomington,History,16.8,44.2%,583,17.6%,No,Yes,17
20046400,Humanities,History,Indiana University At Bloomington,History & Philosophy of Science,3.2,50%,629,0%,No,Yes,18
20016249,Humanities,History,Iowa State University,Agricultural History and Rural Studies,1.6,14.3%,526,0%,No,Yes,16
20016498,Humanities,History,Iowa State University,History of Technology & Science,1,53.3%,495,50%,No,Yes,17
20056746,Humanities,History,Johns Hopkins University,History,12.4,16.2%,695,16.7%,Yes,Yes,18
20056762,Humanities,History,Johns Hopkins University,"History of Science, Medicine, and Technology",3.2,0%,643,0%,Yes,Yes,17
20028622,Humanities,History,Kansas State University,History,2.2,0%,595,0%,No,Yes,18
20039488,Humanities,History,Lehigh University,History,3,14.3%,630,0%,No,Yes,17
20058142,Humanities,History,Louisiana State University And Agricultural And Mechanical College,History,4.2,28.1%,575,0%,No,Yes,16
20036546,Humanities,History,Loyola University Chicago,History,3.6,13.8%,610,0%,No,No,17
20040930,Humanities,History,Marquette University,History,2.6,0%,596,0%,Yes,No,15
20021153,Humanities,History,Miami University,History,1.6,33.3%,603,0%,Yes,Yes,18
20024493,Humanities,History,Mississippi State University,History,2.8,0%,607,0%,No,No,18
20047001,Humanities,History,Michigan State University,History,8.6,39%,552,9.1%,No,Yes,17
20064356,Humanities,History,New York University,History,11.4,20.4%,659,0%,Yes,Yes,18
20031907,Humanities,History,Northeastern University,History,1.8,12.5%,647,0%,Yes,Yes,18
20040367,Humanities,History,Northern Illinois University,History,1.2,0%,531,25%,No,Yes,16
20068925,Humanities,History,Northwestern University,History,8,28.1%,607,7.1%,Yes,Yes,15
20029074,Humanities,History,Ohio State University Main Campus,History,17,1.5%,628,0%,No,Yes,18
20013828,Humanities,History,Ohio University Main Campus,History,3.8,21.9%,607,6.6%,No,No,14
20042019,Humanities,History,Oklahoma State University Main Campus,History,2.6,0%,554,0%,No,No,16
20031473,Humanities,History,Penn State University,History,4.6,38.4%,678,0%,Yes,Yes,18
20032540,Humanities,History,Princeton University,History,11.8,27.8%,702,27.8%,Yes,Yes,15
20032553,Humanities,History,Princeton University,History of Science,1.4,54.5%,730,40%,Yes,Yes,16
20055909,Humanities,History,Purdue University Main Campus,History,4,14.6%,603,40%,No,Yes,18
20041146,Humanities,History,Rice University,History,2,51.3%,625,13.3%,No,Yes,17
20012599,Humanities,History,Rutgers The State University of New Jersey New Brunswick Campus,History,13.6,0%,641,5.9%,Yes,Yes,17
20040480,Humanities,History,Southern Illinois University Carbondale,Historical Studies,2,27%,552,0%,No,No,17
20043296,Humanities,History,Southern Methodist University,History,1,4.5%,592,0%,No,No,14
20052656,Humanities,History,Stanford University,History,16,23.1%,681,11.1%,Yes,Yes,13
20033646,Humanities,History,State University of New York At Albany,History,4.4,0%,576,0%,No,Yes,17
20037493,Humanities,History,State University of New York At Binghamton,History,6.6,25.7%,549,0%,No,Yes,18
20038573,Humanities,History,State University of New York At Buffalo,History,5.6,20%,569,83.3%,No,Yes,15
20038201,Humanities,History,State University of New York At Stony Brook,History,6.8,9.1%,560,0%,No,Yes,16
20022589,Humanities,History,Syracuse University Main Campus,History,2.6,18.5%,605,0%,Yes,Yes,18
20042268,Humanities,History,Temple University,History,5.6,0%,604,0%,No,Yes,16
20021991,Humanities,History,Texas A & M University,History,4.8,2.1%,581,5%,Yes,Yes,17
20017390,Humanities,History,Texas Christian University,History,2,23.5%,607,0%,No,No,15
20029663,Humanities,History,Tufts University,History,1,0%,680,0%,No,Yes,17
20025858,Humanities,History,Tulane University,History,4,9.1%,619,0%,No,Yes,12
20041777,Humanities,History,University of Alabama,History,4.6,0%,556,0%,No,Yes,16
20034043,Humanities,History,University of Arizona,History,8,11.8%,634,0%,No,Yes,17
20013666,Humanities,History,University of Arkansas Main Campus,History,4,16.7%,572,0%,No,Yes,15
20060978,Humanities,History,University of California-Berkeley,History,25,12.1%,665,11.5%,No,Yes,18
20067227,Humanities,History,University of California-Davis,History,6,0%,622,0%,No,Yes,18
20049193,Humanities,History,University of California-Irvine,History,5.2,4.4%,634,0%,No,Yes,18
20053396,Humanities,History,University of California-Los Angeles,History,29.2,18.8%,635,30.8%,No,Yes,18
20048864,Humanities,History,University of California-Riverside,History,7.6,17.2%,577,0%,No,Yes,15
20065643,Humanities,History,University of California-San Diego,History,7.6,0%,645,15.4%,No,Yes,18
20070298,Humanities,History,University of California-Santa Barbara,History,10,30.8%,630,10%,No,Yes,18
20023685,Humanities,History,University of California-Santa Cruz,History,3.4,12.8%,591,0%,No,Yes,14
20014403,Humanities,History,University of Chicago,History,19,58.5%,659,12.5%,No,Yes,17
20032139,Humanities,History,University of Cincinnati Main Campus,History,1.6,0%,620,8.3%,No,Yes,17
20064013,Humanities,History,University of Colorado At Boulder,History,5.2,3.1%,624,0%,Yes,Yes,16
20024082,Humanities,History,University of Connecticut,History PhD,4.6,17.9%,554,0%,No,Yes,14
20012214,Humanities,History,University of Delaware,History,3.8,0%,621,0%,Yes,Yes,15
20013187,Humanities,History,University of Florida,History,5.4,2.2%,610,0%,No,Yes,16
20019770,Humanities,History,University of Georgia,History,4.4,0%,585,0%,Yes,Yes,18
20014791,Humanities,History,University of Hawaii At Manoa,History,4.6,0%,568,0%,No,Yes,13
20067625,Humanities,History,University of Idaho,History,1.6,53.3%,559,0%,No,Yes,9
20042899,Humanities,History,University of Illinois At Chicago,History,6.4,21.4%,602,0%,No,Yes,17
20039051,Humanities,History,University of Illinois At Urbana-Champaign,History,11.6,18.3%,582,4.5%,No,Yes,16
20020604,Humanities,History,University of Iowa,History,8,0%,582,0%,No,Yes,17
20051194,Humanities,History,University of Kansas,History,9.2,6.9%,592,12.5%,No,No,17
20028237,Humanities,History,University of Kentucky,History,5.8,49.1%,575,0%,Yes,Yes,17
20050263,Humanities,History,University of Maryland College Park,History,7.4,9.3%,626,0%,No,Yes,16
20047991,Humanities,History,University of Massachusetts Amherst,History,3.4,36.2%,627,0%,No,Yes,16
20027872,Humanities,History,University of Memphis,History,2.4,17.2%,507,0%,No,No,16
20050849,Humanities,History,University of Miami,History,1.2,25.9%,483,0%,Yes,Yes,18
20035482,Humanities,History,University of Michigan-Ann Arbor,History,16.4,21.5%,654,0%,No,Yes,18
20039983,Humanities,History,University of Minnesota-Twin Cities,History,12,8.1%,658,0%,Yes,Yes,18
20040008,Humanities,History,University of Minnesota-Twin Cities,History of Science and Technology,3.2,0%,607,0%,Yes,Yes,14
20062390,Humanities,History,University of Mississippi,History,4.8,4%,534,10.3%,No,Yes,15
20025418,Humanities,History,University of Missouri - Columbia,History,7.4,0%,560,0%,No,Yes,17
20017332,Humanities,History,University of Nebraska - Lincoln,History,5.8,3.4%,570,0%,No,Yes,15
20050658,Humanities,History,University of New Hampshire,History,3.2,0%,579,0%,No,Yes,17
20015295,Humanities,History,University of New Mexico Main Campus,History,4.4,3.4%,640,6.6%,No,Yes,17
20045320,Humanities,History,University of North Carolina At Chapel Hill,History,17,25%,656,22.7%,No,Yes,18
20047344,Humanities,History,University of North Texas,History,3,0%,550,0%,Yes,Yes,10
20035945,Humanities,History,University of Notre Dame,History,5.4,16.7%,676,9.1%,Yes,Yes,16
20051709,Humanities,History,University of Oklahoma Norman Campus,History,2.4,0%,596,0%,No,Yes,17
20051712,Humanities,History,University of Oklahoma Norman Campus,History of Science,1,40%,623,6.6%,Yes,Yes,17
20043911,Humanities,History,University of Oregon,History,2.6,0%,549,0%,Yes,Yes,15
20036944,Humanities,History,University of Pennsylvania,History,15.8,4.4%,660,27.8%,Yes,Yes,18
20049711,Humanities,History,University of Pittsburgh Pittsburgh Campus,History,4.4,8.3%,541,0%,Yes,Yes,18
20069270,Humanities,History,University of Rochester,History,4.4,5.6%,626,0%,No,Yes,16
20067829,Humanities,History,University of South Carolina Columbia,History,7,0%,626,0%,Yes,Yes,16
20068187,Humanities,History,University of Southern California,History,4.6,11.1%,613,9.1%,No,Yes,18
20032799,Humanities,History,University of Southern Mississippi,History,1.6,4.5%,541,0%,No,No,18
20045841,Humanities,History,University of Tennessee,History,3,34.9%,585,0%,No,Yes,16
20061582,Humanities,History,University of Texas At Austin,History,9.8,5%,629,0%,No,Yes,17
20056131,Humanities,History,University of Texas At Dallas,History of Ideas,3.2,0%,607,50%,No,Yes,15
20043539,Humanities,History,University of Toledo,History,2.8,0%,570,100%,No,Yes,18
20047593,Humanities,History,University of Utah,History,3,22.2%,607,0%,No,Yes,16
20023290,Humanities,History,University of Virginia,History,14.2,13.7%,657,0%,No,Yes,16
20059727,Humanities,History,University of Washington,History,7.8,35.7%,677,0%,No,Yes,17
20030704,Humanities,History,University of Wisconsin-Madison,History,18,1.9%,607,3%,No,Yes,17
20030717,Humanities,History,University of Wisconsin-Madison,History of Science,1.6,0%,630,0%,No,Yes,17
20051990,Humanities,History,Vanderbilt University,History,3.4,26.2%,650,0%,Yes,Yes,17
20058485,Humanities,History,Washington State University,History,5.4,14.3%,532,0%,No,Yes,18
20069885,Humanities,History,Washington University In St. Louis,History,2.2,15.6%,661,10%,No,Yes,17
20021616,Humanities,History,Wayne State University,History,1.4,25%,536,0%,No,Yes,17
20044088,Humanities,History,Western Michigan University,History,1.8,13.3%,499,0%,No,Yes,18
20063548,Humanities,History,Yale University,History,16.6,2.9%,685,21.7%,No,Yes,18
20063564,Humanities,History,Yale University,History of Medicine & Science,1.8,31.3%,667,0%,No,Yes,18
20063632,Humanities,History,Yale University,Medieval Studies,1.4,15.4%,740,0%,No,Yes,18
20059015,Humanities,"History of Art, Architecture and Archaeology",Boston University,Art History,3.8,0%,583,0%,Yes,Yes,16
20018360,Humanities,"History of Art, Architecture and Archaeology",Brown University,History of Art and Architecture,3.4,67.9%,609,0%,Yes,Yes,18
20048990,Humanities,"History of Art, Architecture and Archaeology",Bryn Mawr College,History of Art,3.4,38.5%,655,0%,Yes,Yes,13
20019042,Humanities,"History of Art, Architecture and Archaeology",Case Western Reserve University,Art History,2.8,52.6%,541,12.5%,Yes,No,17
20057017,Humanities,"History of Art, Architecture and Archaeology",City University of New York Grad. Center,Art History,19.4,0%,589,0%,Yes,No,18
20057402,Humanities,"History of Art, Architecture and Archaeology",Columbia University In The City of New York,Architecture,1,12.5%,613,0%,No,Yes,16
20057415,Humanities,"History of Art, Architecture and Archaeology",Columbia University In The City of New York,Art History and Archaeology,12.6,4.3%,676,20%,No,Yes,16
20015538,Humanities,"History of Art, Architecture and Archaeology",Cornell University,Architecture,1,0%,605,0%,Yes,Yes,17
20015842,Humanities,"History of Art, Architecture and Archaeology",Cornell University,History of Art and Archeology,3,16.7%,555,0%,No,Yes,16
20030128,Humanities,"History of Art, Architecture and Archaeology",Duke University,Art History,1.2,23.5%,619,0%,No,Yes,16
20061919,Humanities,"History of Art, Architecture and Archaeology",Emory University,Art History,2.8,13.3%,635,0%,Yes,Yes,13
20027199,Humanities,"History of Art, Architecture and Archaeology",Florida State University,Art History,1.8,0%,593,0%,Yes,Yes,17
20066118,Humanities,"History of Art, Architecture and Archaeology",Harvard University,History of Art and Architecture,7.6,8%,659,7.7%,Yes,Yes,16
20046329,Humanities,"History of Art, Architecture and Archaeology",Indiana University At Bloomington,Fine Arts-Art History,4.4,53.6%,530,20%,Yes,Yes,17
20060389,Humanities,"History of Art, Architecture and Archaeology",Illinois Institute of Technology,Architecture,3.6,9.1%,605,26.7%,Yes,No,10
20033332,Humanities,"History of Art, Architecture and Archaeology",Massachusetts Institute of Technology,"History, Theory and Criticism",3.4,0%,605,0%,Yes,Yes,18
20056759,Humanities,"History of Art, Architecture and Archaeology",Johns Hopkins University,History of Art,2.8,0%,654,9.5%,Yes,Yes,13
20064369,Humanities,"History of Art, Architecture and Archaeology",New York University,History of Art and Archeology/IFA,15,41%,617,25.6%,Yes,Yes,16
20068789,Humanities,"History of Art, Architecture and Archaeology",Northwestern University,Art History,4,36%,626,0%,Yes,Yes,15
20031185,Humanities,"History of Art, Architecture and Archaeology",Penn State University,Art History,2.2,55.6%,557,0%,No,Yes,18
20029087,Humanities,"History of Art, Architecture and Archaeology",Ohio State University Main Campus,History of Art,3.6,0%,597,0%,No,Yes,18
20032362,Humanities,"History of Art, Architecture and Archaeology",Princeton University,Architecture,1.4,58.8%,547,0%,Yes,Yes,15
20032375,Humanities,"History of Art, Architecture and Archaeology",Princeton University,Art and Archaeology,7.8,37.5%,656,7.7%,Yes,Yes,14
20012379,Humanities,"History of Art, Architecture and Archaeology",Rutgers The State University of New Jersey New Brunswick Campus,Art History,7.4,0%,622,0%,Yes,Yes,15
20052384,Humanities,"History of Art, Architecture and Archaeology",Stanford University,Art History,4.6,31.8%,651,0%,Yes,Yes,13
20037396,Humanities,"History of Art, Architecture and Archaeology",State University of New York At Binghamton,Art History,3.4,53.3%,461,0%,No,Yes,18
20042190,Humanities,"History of Art, Architecture and Archaeology",Temple University,Art History,1.2,40%,590,0%,No,Yes,15
20060981,Humanities,"History of Art, Architecture and Archaeology",University of California-Berkeley,History of Art,7,36.4%,683,28.6%,Yes,Yes,18
20053037,Humanities,"History of Art, Architecture and Archaeology",University of California-Los Angeles,Archeology,2,47.5%,642,60%,No,Yes,14
20038078,Humanities,"History of Art, Architecture and Archaeology",State University of New York At Stony Brook,Art History and Criticism,1.6,14.3%,623,0%,Yes,Yes,17
20053040,Humanities,"History of Art, Architecture and Archaeology",University of California-Los Angeles,Architecture,3,26.3%,699,0%,No,Yes,13
20053053,Humanities,"History of Art, Architecture and Archaeology",University of California-Los Angeles,Art History,6.8,70.4%,582,20%,Yes,Yes,18
20070133,Humanities,"History of Art, Architecture and Archaeology",University of California-Santa Barbara,Art History,5.8,26.9%,628,0%,No,Yes,18
20014212,Humanities,"History of Art, Architecture and Archaeology",University of Chicago,Art History,9,48.9%,634,11.1%,Yes,Yes,16
20012094,Humanities,"History of Art, Architecture and Archaeology",University of Delaware,Art History,3,0%,654,0%,Yes,Yes,16
20019592,Humanities,"History of Art, Architecture and Archaeology",University of Georgia,Art,1.6,40%,525,0%,Yes,Yes,18
20038793,Humanities,"History of Art, Architecture and Archaeology",University of Illinois At Urbana-Champaign,Art History,2.2,34.6%,605,100%,Yes,Yes,15
20020510,Humanities,"History of Art, Architecture and Archaeology",University of Iowa,Art History,3.8,0%,539,33.3%,Yes,Yes,17
20051204,Humanities,"History of Art, Architecture and Archaeology",University of Kansas,History of Art,5,25%,568,0%,No,No,17
20026268,Humanities,"History of Art, Architecture and Archaeology",University of Louisville,Art History,1,45.5%,565,0%,No,Yes,18
20050001,Humanities,"History of Art, Architecture and Archaeology",University of Maryland College Park,Art History,4,30.4%,638,0%,No,Yes,18
20035495,Humanities,"History of Art, Architecture and Archaeology",University of Michigan-Ann Arbor,History of Art,5.2,55.4%,639,0%,No,Yes,18
